title,contents,page_url,char_count,word_count
About this site,"**We hope you like our new-look help docs** which make use of richer formatting to make the articles easier to read, particularly those with code snippets or command-line instructions. We've also changed the way we manage the source content so it's easier for us to maintain. There's still more to do, to re-organise some of the content and add new pages to reflect how JASMIN is evolving.
This site should redirect you from any previous URLs you may have stored, but please use the following features to help you navigate around the site:
- main navigation bar along the top of the site, including search tool
- breadcrumbs menu, to show you where you are in the site
- collapsible sidebar, left side panel (docs pages only)
- icons, to identify articles within the same section
- table of contents, right side panel
- hover over sub-headings to reveal a bookmark-able link to that heading
- {{< icon fas tag >}} {{<link url=""/tags""  >}}tags{{</link>}} to group together articles covering similar topics
- links between articles
",https://help.jasmin.ac.uk/docs/about-this-site#about-this-site,1030,175
Issues with this site,"If you spot any broken links or incorrect information, please let us know by opening an issue in the GitHub repository for this site's source code:
{{<button icon=""fab github"" cue=false order=""first"" href=""https://github.com/cedadev/jasmin-help-hugo-hinode/issues"" >}}Report issues with this site{{</button>}}
The date of update date and commit message for each page should be just above the footer of each page.
",https://help.jasmin.ac.uk/docs/about-this-site#issues-with-this-site,413,57
Other issues,"For all other reports of problems, or for any information you can't find (don't forget the other JASMIN sites linked in the footer!), please use the contact form via ""Ask"" in the JASMIN Help beacon (bottom right, orange button) and use the contact form to send a message to the helpdesk: this is the best method to get in touch.
Note that the beacon no longer contains the links to the help docs themselves, but still provides the contact form. Hopefully the other navigation features described above should enable you to find what you need.
",https://help.jasmin.ac.uk/docs/about-this-site#other-issues,542,95
'Example Job 2,"This page records some early CEDA usage of the LOTUS cluster for various
relatively simple tasks. Others may wish to use these examples as a starting
point for developing their own workflows on LOTUS.
## Case 1: Calculating MD5 Checksums on many files
This is a simple case because:
1. the archive only needs to be read by the code and
2. the code that we need to run involves only the basic linux commands so there are no issues with picking up dependencies from elsewhere.
### Case Description**
- we want to calculate the MD5 checksums of about 220,000 files. It will take a day or two to run them all in series.
- we have a text file that contains 220,000 lines - one file per line.
### Solution under LOTUS
- Split the 220,000 lines into 22 files of 10,000 lines.
- Write a template script to: 
- Read a text file full of file paths
- Run the `md5sum` command on each file and log the result.
- Write a script to create 22 new scripts (based on the template script), each of which takes one of the input files and works through it.
### And this is how it looks
Log in to the `sci` server (from a `login` server):
{{<command user=""user"" host=""login1"">}}
ssh -A <username>@sci1.jasmin.ac.uk
{{</command>}}
Split the big file
{{<command user=""user"" host=""sci1"">}}
split -l 10000 -d file_list.txt # Produces 22 files called ""x00""...""x21""
{{</command>}}
Create the template file: `scan_files_template.sh`
#!/bin/bash
#SBATCH -e %J.e
infile=/home/users/astephen/sst_cci/to_scan/__INSERT_FILE__  
while read f ; do         
    /usr/bin/md5sum $f >> /home/users/astephen/sst_cci/output/scanned___INSERT_FILE__.log
done < $infile
Run a script to generate all the script files:
for i in `ls /home/users/astephen/sst_cci/to_scan/` ; do
    cp scan_files_template.txt bin/scan_files_${i}.sh 
    perl -p -i -w -e 's/__INSERT_FILE__/'${i}'/g;' bin/scan_files_${i}.sh 
done
Submit all 22 jobs to LOTUS:
for i in `ls /home/users/astephen/sst_cci/to_scan/` ; do      
    echo $i     
    sbatch -p short-serial -o /home/users/astephen/sst_cci/output/$i /home/users/astephen/sst_cci/bin/scan_files_${i}.sh  
done
Watch the jobs running:
{{<command user=""user"" host=""sci1"">}}
squeue -u <username>
{{</command>}}
### And the result
All jobs ran within about an hour.
## Case 2: Checksumming CMIP5 Data
A variation on Case 2 has been used for checksumming datasets in the CMIP5
archive. The Python code below will find all NetCDF files in a DRS dataset and
generate a checksums file and error log. Each dataset is submitted as a
separate bsub job.
"""""" 
Checksum a CMIP5 dataset
usage: checksum_dataset.py dataset_id ...
    where dataset_id is a full drs id including version 
    e.g. cmip5.output1.MOHC.HadGEM2-ES.historical.6hr.atmos.6hrLev.r1i1p1.v20110921
""""""
import os
import os.path as op
import sys
import optparse
DRS_ROOT = '/badc/cmip5/data'
def submit_job(dataset):
    # Assume version is in the dataset-id for now
    parts = dataset.split('.')
    path = op.join(DRS_ROOT, '/'.join(parts))
    if not op.exists(path):
        raise Exception('%s does not exist' % path)
    job_name = dataset
    cmd = ('bsub -q lotus -J {job_name} '
            '-o {job_name}.checksums -e {job_name}.err '
            ""/usr/bin/md5sum '{path}/*/*.nc'"").format(job_name=job_name,
                                                    path=path)
    print(cmd)
    os.system(cmd)
def main():
    parser = optparse.OptionParser(description='Checksum DRS datasets')
    (options, args) = parser.parse_args()
    datasets = args
    for dataset in datasets:
        submit_job(dataset)
if __name__ == '__main__':
    main()
If you have a file containing a list of dataset ids you can submit each as a
separate job by invoking the above script as follows:
{{<command user=""user"" host=""sci1"">}}
./checksum_dataset.py $(cat datasets_to_checksum.dat)
sbatch-q short-serial -J cmip5.output1.MOHC.HadGEM2-ES.rcp85.day.seaIce.day.r1i1p1.v20111128 -o cmip5.output1.MOHC.HadGEM2-ES.rcp85.day.seaIce.day.r1i1p1.v20111128.checksums -e cmip5.output1.MOHC.HadGEM2-ES.rcp85.day.seaIce.day.r1i1p1.v20111128.err /usr/bin/md5sum '/badc/cmip5/data/cmip5/output1/MOHC/HadGEM2-ES/rcp85/day/seaIce/day/r1i1p1/v20111128/*/*.nc'
(out)Job <745307> is submitted to queue <lotus>.  ...
{{</command>}}
",https://help.jasmin.ac.uk/docs/batch-computing/example-job-2-calc-md5s,4256,543
Job information,"Information on all running and pending batch jobs managed by Slurm can be
obtained from the Slurm command `squeue`. Note that information on completed
jobs is only retained for a limited period. Information on jobs that ran in
the past is via `sacct`. An example of the output `squeue` is shown below.
{{<command user=""user"" host=""sci1"">}}
squeue
(out)JOBID PARTITION     NAME   USER ST       TIME  NODES NODELIST(REASON)
(out)18957 short-ser     mean   user1  R       0:01      1 host147
(out)18956 short-ser     calc   user2  R      48:38      1 host146
(out)18967      test     wrap   user1  R      14:25      1 host146
{{</command>}}
where the field `ST` is the job state and the `TIME` is the time used by the
job.
A batch job evolves in several states in the course of its execution. The
typical job states are defined in Table 1
Table 1: Job states
Symbol | Job state  |  Description  
---|---|---
PD  |  Pending  |  The job is waiting in a queue for allocation of resources
R  |  Running  |  The job currently is allocated to a node and is running
CG  |  Completing  |  The job is finishing but some processes are still active
CD  |  Completed  |  The job has completed successfully
F  |  Failed  |  Failed with non-zero exit value
TO  |  Terminated  |  Job terminated by Slurm after reaching its runtime limit
S  |  Suspended  |  A running job has been stopped with its resources released to other jobs
ST  |  Stopped  |  A running job has been stopped with its resources retained
{.table .table-striped}
",https://help.jasmin.ac.uk/docs/batch-computing/how-to-monitor-slurm-jobs#job-information,1514,248
Slurm commands for monitoring jobs,"A list of the most commonly used commands and their options for monitoring
batch jobs are listed in Table 2, below:
Table 2. List of important Slurm commands and their options for monitoring
jobs
Slurm Command  |  Description  
---|---  
`squeue` |  To view information for all jobs running and pending on the cluster  
`squeue --user=username` |  Displays running and pending jobs per individual user  
`squeue --states=PD` |  Displays information for pending jobs (PD state) and their reasons  
`squeues --states=all` |  Shows a summary of the number of jobs in different states  
`scontrol show job JOBID` |  Shows detailed information about your job (JOBID = job number) by searching the current event log file  
`sacct -b` |  Shows a brief listing of past jobs
`sacct -l -j JOBID` |  Shows detailed historical job information of a past job with jobID  
{.table .table-striped}
",https://help.jasmin.ac.uk/docs/batch-computing/how-to-monitor-slurm-jobs#slurm-commands-for-monitoring-jobs,882,141
Inspection of job output files,"An example of the job output file from a simple job submitted to Slurm:
{{<command shell=""bash"">}}
sbatch -p test  --wrap=""sleep 2m""
(out)Submitted batch job 18973  
{{</command>}}
{{<command shell=""bash"">}}
scontrol show job 18973
(out)JobId=18973 JobName=wrap
(out)   UserId=fchami(26458) GroupId=users(26030) MCS_label=N/A
(out)   Priority=1 Nice=0 Account=jasmin QOS=normal
(out)   JobState=RUNNING Reason=None Dependency=(null)
(out)   Requeue=1 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
(out)   RunTime=00:00:08 TimeLimit=01:00:00 TimeMin=N/A
(out)  SubmitTime=2020-05-20T14:10:28 EligibleTime=2020-05-20T14:10:28
(out)   AccrueTime=2020-05-20T14:10:28
(out)   StartTime=2020-05-20T14:10:32 EndTime=2020-05-20T15:10:32 Deadline=N/A
(out)   SuspendTime=None SecsPreSuspend=0 LastSchedEval=2020-05-20T14:10:32
(out)   Partition=test AllocNode:Sid=sci2-test:18286
(out)   ReqNodeList=(null) ExcNodeList=(null)
(out)   NodeList=host147
(out)   BatchHost=host147
(out)   NumNodes=1 NumCPUs=1 NumTasks=1 CPUs/Task=1 ReqB:S:C:T=0:0:*:*
(out)   TRES=cpu=1,mem=128890M,node=1,billing=1
(out)   Socks/Node=*NtasksPerN:B:S:C=0:0:*:* CoreSpec=*
(out)   MinCPUsNode=1 MinMemoryNode=128890M MinTmpDiskNode=0
(out)   Features=(null) DelayBoot=00:00:00
(out)   OverSubscribe=OK Contiguous=0 Licenses=(null) Network=(null)
(out)   Command=(null)
(out)   WorkDir=/home/users/fchami
(out)   StdErr=/home/users/fchami/slurm-18973.out
(out)   StdIn=/dev/null
(out)   StdOut=/home/users/fchami/slurm-18973.out
(out)   Power=
{{</command>}}
",https://help.jasmin.ac.uk/docs/batch-computing/how-to-monitor-slurm-jobs#inspection-of-job-output-files,1527,116
History of jobs,"{{<command shell=""bash"">}}
sacct
(out)        JobID    JobName  Partition    Account  AllocCPUS      State ExitCode
(out)------------ ---------- ---------- ---------- ---------- ---------- --------
(out)18963              wrap par-single     jasmin          1  COMPLETED      0:0
(out)18964              wrap short-ser+     jasmin          1  COMPLETED      0:0
(out)18965              wrap par-single     jasmin          1  COMPLETED      0:0
(out)18966              wrap short-ser+     jasmin          1  COMPLETED      0:0
{{</command>}}
",https://help.jasmin.ac.uk/docs/batch-computing/how-to-monitor-slurm-jobs#history-of-jobs,541,47
How to submit a job,"This article explains how to submit a batch job to the new scheduler Slurm.
",https://help.jasmin.ac.uk/docs/batch-computing/how-to-submit-a-job,76,14
What is a batch job?,"A batch job is controlled by a script written by the user who submits the job
to the batch system Slurm. The batch system then selects the resources for the
job and decides when to run the job. Note: the term ""job"" is used throughout
this documentation to mean a ""batch job"".
There are two ways of submitting a job to Slurm:
  1. Submit via a Slurm job script - create a bash script that includes directives to the Slurm scheduler
  2. Submit via command-line options - provide directives to Slurm via command-line arguments
Both options are described below.
",https://help.jasmin.ac.uk/docs/batch-computing/how-to-submit-a-job#what-is-a-batch-job?,559,99
